Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Lucas Giolito","CHW",176.2,705,3.4132,131,28,4,69,67,24,57,1,4,228,0.2046875,0.272727272,0.3734375,0.2752282028517038,15474
2019,"Antonio Senzatela","COL",124.2,582,6.7139,161,38,2,99,93,19,57,5,4,76,0.313229571,0.384083044,0.505836575,0.3728003062918964,15488
2019,"Kohl Stewart","MIN",25.1,109,6.3947,29,6,1,18,18,5,8,0,1,10,0.29,0.348623853,0.52,0.36285850104935674,15502
2019,"Hunter Harvey","BAL",6.1,26,1.4211,3,1,1,1,1,1,4,0,0,11,0.136363636,0.269230769,0.409090909,0.2863997587790856,15507
2019,"Eric Yardley","SDP",11.2,52,2.3143,12,1,0,5,3,1,3,0,1,7,0.260869565,0.32,0.347826086,0.2928474485874176,15538
2019,"Tyler Rogers","SFG",17.2,70,1.0189,12,3,0,3,2,0,3,0,1,16,0.184615384,0.231884057,0.23076923,0.2067617022472879,15541
2019,"Chad Green","NYY",69,295,4.1739,66,14,2,35,32,10,19,0,6,98,0.247191011,0.308474576,0.426966292,0.3108538049762532,15552
2019,"Tyler White","HOU",3.1,22,21.6002,7,3,0,8,8,4,5,0,0,2,0.4375,0.545454545,1.375,0.675436794757843,15564
2019,"Mike Ford","NYY",2,12,22.5,6,1,0,5,5,2,0,0,0,1,0.5,0.5,1.083333333,0.6420465161403021,15585
2019,"Nick Wittgren","CLE",57.2,231,2.8092,47,11,0,22,18,10,15,1,0,60,0.217592592,0.268398268,0.407407407,0.28283730071523916,15594
2019,"Phillips Valdez","TEX",16,75,3.9375,17,2,0,7,7,3,9,0,2,18,0.269841269,0.373333333,0.444444444,0.3511774174372355,15605
2019,"Yefry Ramirez","2 Tms",24.1,119,7.3973,30,8,0,24,20,4,16,0,4,27,0.30927835,0.420168067,0.515463917,0.39551230739144716,15655
2019,"Miguel Castro","BAL",73.1,319,4.6636,63,12,0,42,38,10,41,3,0,71,0.231617647,0.326018808,0.386029411,0.30341905223417887,15684
2019,"Luis Castillo","CIN",190.2,781,3.3986,139,29,1,76,72,22,79,0,7,226,0.202034883,0.29032258,0.343023255,0.2770395883437126,15689
2019,"Jimmy Cordero","2 Tms",37.1,146,2.8929,26,5,1,12,12,4,11,0,3,31,0.196969696,0.273972602,0.34090909,0.2673635919616647,15690
2019,"Brad Keller","KCR",165.1,709,4.1915,154,19,10,80,77,15,70,2,9,122,0.246794871,0.329096045,0.381410256,0.3067557856482757,15734
2019,"Joe Jimenez","DET",59.2,257,4.3743,56,12,1,33,29,13,23,1,4,82,0.24347826,0.322957198,0.473913043,0.3339629527181387,15761
2019,"Masahiro Tanaka","NYY",182,759,4.4505,186,43,4,95,90,28,40,0,2,149,0.260869565,0.300395256,0.450210378,0.31398715638360486,15764
2019,"Devin Williams","MIL",13.2,67,3.9512,18,5,0,9,6,2,6,0,2,14,0.310344827,0.393939393,0.5,0.38042836387952167,15816
2019,"Dario Agrazal","PIT",73.1,321,4.9091,82,13,2,43,40,15,18,0,10,41,0.28275862,0.344827586,0.496551724,0.35361989090061485,15821
2019,"Zack Littell","MIN",37,146,2.6757,34,8,1,12,11,4,9,1,0,32,0.25,0.296551724,0.411764705,0.2972540420790513,15823
2019,"Paul Fry","BAL",57.1,255,5.3372,54,11,1,39,34,7,29,1,6,55,0.246575342,0.3503937,0.401826484,0.3263591714056113,15832
2019,"Adam Plutko","CLE",109.1,462,4.8567,115,27,1,61,59,22,26,2,4,78,0.26744186,0.313852813,0.488372093,0.3326459720082905,15846
2019,"Wander Suero","WSN",71.1,296,4.5421,64,14,0,36,36,5,26,3,3,81,0.242424242,0.314189189,0.352272727,0.28634036767197957,15855
2019,"Stephen Tarpley","NYY",24.2,120,6.9324,34,6,0,20,19,6,15,1,2,34,0.330097087,0.425,0.563106796,0.4132026604243687,15859
2019,"Sean Manaea","OAK",29.2,109,1.2135,16,3,0,4,4,3,7,0,2,30,0.16,0.229357798,0.28,0.22417584362380003,15873
2019,"Fernando Romero","MIN",14,72,7.0714,19,4,0,12,11,2,11,1,1,18,0.316666666,0.430555555,0.483333333,0.3897575274319716,15885
2019,"Luis Severino","NYY",12,48,1.5,6,1,0,2,2,0,6,0,1,17,0.146341463,0.270833333,0.170731707,0.21720173954963684,15890
2019,"Lewis Thorpe","MIN",27.2,124,6.1807,38,11,1,19,19,3,10,0,0,31,0.336283185,0.387096774,0.530973451,0.38415195240128425,15906
2019,"Victor Arano","PHI",4.2,16,3.8571,2,0,0,2,2,1,2,0,0,7,0.153846153,0.25,0.384615384,0.2618582732975483,15915
